Variable Position	Variable Name	Code	Label
25	indus10	8290	Residential care facilities  without nursing
25	indus10	8270	Nursing care facilities
25	indus10	8190	Hospitals
25	indus10	8180	Other health care services
25	indus10	8170	Home health care services
25	indus10	8090	Outpatient care centers
25	indus10	8080	Offices of other health practitioners
25	indus10	8070	Offices of optometrists
25	indus10	7990	Offices of chiropractors
25	indus10	7980	Offices of dentists
25	indus10	7970	Offices of physicians
25	indus10	7890	Other schools and instruction  and educational support services
25	indus10	7880	Business  technical  and trade schools and training
25	indus10	7870	Colleges and universities  including junior colleges
25	indus10	7860	Elementary and secondary schools
25	indus10	7790	Waste management and remediation services
25	indus10	7780	Other administrative and other support services
25	indus10	7770	Landscaping services
25	indus10	7690	Services to buildings and dwellings
25	indus10	7680	Investigation and security services
25	indus10	7670	Travel arrangements and reservation services
25	indus10	7590	Business support services
25	indus10	7580	Employment services
25	indus10	7570	Management of companies and enterprises
25	indus10	7490	Other professional  scientific  and technical services
25	indus10	7480	Veterinary services
25	indus10	7470	Advertising and related services
25	indus10	7460	Scientific research and development services
25	indus10	7390	Management  scientific  and technical consulting services
25	indus10	7380	Computer systems design and related services
25	indus10	7370	Specialized design services
25	indus10	7290	Architectural  engineering  and related services
25	indus10	7280	Accounting  tax preparation  bookkeeping  and payroll services
25	indus10	7270	Legal services
25	indus10	7190	Commercial  industrial  and other intangible assets rental and leasing
25	indus10	7180	Other consumer goods rental
25	indus10	7170	Video tape and disk rental
25	indus10	7080	Automotive equipment rental and leasing
25	indus10	7070	Real estate
25	indus10	6990	Insurance carriers and related activities
25	indus10	6970	Securities  commodities  funds  trusts  and other financial investments
25	indus10	6890	Nontodepository credit and related activities
25	indus10	6880	Savings institutions  including credit unions
25	indus10	6870	Banking and related activities
25	indus10	6780	Other information services
25	indus10	6770	Libraries and archives
25	indus10	6695	Data processing  hosting  and related services
25	indus10	6690	Other telecommunications services
25	indus10	6680	Wired telecommunications carriers
25	indus10	6672	Internet publishing and broadcasting and web search portals
25	indus10	6670	Radio and television broadcasting and cable subscription programming
25	indus10	6590	Sound recording industries
25	indus10	6570	Motion pictures and video industries
25	indus10	6490	Software publishers
25	indus10	6480	Periodical  book  and directory publishers
25	indus10	6470	Newspaper publishers
25	indus10	6390	Warehousing and storage
25	indus10	6380	Couriers and messengers
25	indus10	6370	Postal service
25	indus10	6290	Services incidental to transportation
25	indus10	6280	Scenic and sightseeing transportation
25	indus10	6270	Pipeline transportation
25	indus10	6190	Taxi and limousine service
